user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
S1C740	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingosinicella;s__	N/A	N/A	N/A	N/A	N/A	GCF_003634215.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingosinicella;s__Sphingosinicella microcystinivorans	89.27	0.76	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingosinicella;s__	taxonomic classification defined by topology and ANI	N/A	GCA_013911755.1, s__Sphingosinicella sp013911755, 95.0, 89.86, 0.78; GCF_014199685.1, s__Sphingosinicella soli, 95.0, 86.74, 0.7	97.97	11	0.9880918659483109	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S1C745	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Terricaulis;s__	N/A	N/A	N/A	N/A	N/A	GCF_001679665.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Terricaulis;s__Terricaulis sp001679665	81.0	0.6	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Terricaulis;s__	taxonomic classification defined by topology and ANI	N/A	GCA_902826145.1, s__Terricaulis sp902826145, 95.0, 80.22, 0.54; GCA_002083515.1, s__Terricaulis sp002083515, 95.0, 80.01, 0.51; GCA_001464425.1, s__Terricaulis sp001464425, 95.0, 80.01, 0.45; GCF_009792355.1, s__Terricaulis silvestris, 95.0, 79.64, 0.44; GCF_004634425.1, s__Terricaulis sp004634425, 95.0, 79.44, 0.44; GCA_003242075.1, s__Terricaulis sp003242075, 95.0, 79.43, 0.44; GCA_900696695.1, s__Terricaulis sp900696695, 95.0, 78.98, 0.45; GCA_014378995.1, s__Terricaulis sp014378995, 95.0, 78.77, 0.43; GCF_000974665.1, s__Terricaulis sp000974665, 95.0, 78.46, 0.33; GCA_902826035.1, s__Terricaulis sp902826035, 95.0, 77.78, 0.27; GCA_011332235.1, s__Terricaulis sp011332235, 95.0, 77.67, 0.36; GCA_003526465.1, s__Terricaulis sp003526465, 95.0, 77.59, 0.32; GCA_902826245.1, s__Terricaulis sp902826245, 95.0, 77.36, 0.27; GCA_002343395.1, s__Terricaulis sp002343395, 95.0, 77.17, 0.26	94.5	11	0.9889716242378936	N/A
S1C780	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__	taxonomic classification fully defined by topology	N/A	N/A	95.33	11	0.9410951709226802	N/A
S1C784	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__Palsa-1233;s__	N/A	N/A	N/A	N/A	N/A	GCA_011390645.1	95.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__Palsa-1233;s__Palsa-1233 sp011390645	77.92	0.24	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__Palsa-1233;s__	taxonomic classification defined by topology and ANI	N/A	GCA_013694695.1, s__Palsa-1233 sp013694695, 95.0, 77.48, 0.22	93.09	11	0.9338198659720678	N/A
S1C820	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_A;s__	taxonomic classification defined by topology and ANI	N/A	GCF_900170025.1, s__Nitrospira_A sp900170025, 95.0, 86.19, 0.81; GCF_000196815.1, s__Nitrospira_A defluvii_A, 95.0, 85.55, 0.81; GCA_902500715.1, s__Nitrospira_A sp902500715, 95.0, 84.65, 0.67; GCA_902500785.1, s__Nitrospira_A sp902500785, 95.0, 82.03, 0.64; GCA_009594995.1, s__Nitrospira_A sp009594995, 95.0, 80.83, 0.55; GCA_014055465.1, s__Nitrospira_A sp014055465, 95.0, 79.84, 0.52; GCA_900696505.1, s__Nitrospira_A sp900696505, 95.0, 79.69, 0.4; GCA_009594865.1, s__Nitrospira_A sp009594865, 95.0, 79.46, 0.46; GCA_009594855.1, s__Nitrospira_A sp009594855, 95.0, 79.41, 0.5; GCA_902500995.1, s__Nitrospira_A sp902500995, 95.0, 79.32, 0.47; GCA_011525625.1, s__Nitrospira_A sp003456605, 95.0, 79.29, 0.5; GCA_014055495.1, s__Nitrospira_A sp014055495, 95.0, 79.26, 0.45; GCA_013696305.1, s__Nitrospira_A sp013696305, 95.0, 78.85, 0.41; GCA_001567445.1, s__Nitrospira_A sp001567445, 95.0, 78.12, 0.33	83.05	11	0.9798684980730318	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S1C852	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	88.98	11	0.8858944463084738	N/A
S1C9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__	ANI	N/A	GCF_002127295.1, s__JJ008 sp002127295, 95.0, 77.12, 0.27; GCA_013140985.1, s__JJ008 sp013140985, 95.0, 76.99, 0.23; GCA_902826165.1, s__JJ008 sp902826165, 95.0, 76.97, 0.22; GCA_001464625.1, s__JJ008 sp001464625, 95.0, 76.95, 0.23; GCA_002400415.1, s__JJ008 sp002400415, 95.0, 76.83, 0.21; GCA_002352145.1, s__JJ008 sp002352145, 95.0, 76.77, 0.2	92.87	11	0.9521449309319534	N/A
S1C904	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__UBA6140;s__	N/A	N/A	N/A	N/A	N/A	GCA_002842135.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__UBA6140;s__UBA6140 sp002842135	85.12	0.69	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__UBA6140;s__	taxonomic classification defined by topology and ANI	N/A	GCA_002842435.1, s__UBA6140 sp002842435, 95.0, 82.89, 0.73; GCA_002479405.1, s__UBA6140 sp002479405, 95.0, 81.95, 0.62; GCA_002842255.1, s__UBA6140 sp002842255, 95.0, 81.48, 0.61; GCA_002423265.1, s__UBA6140 sp002423265, 95.0, 79.27, 0.47; GCF_001704575.1, s__UBA6140 sp001704575, 95.0, 78.93, 0.45	83.68	11	0.9841517957889705	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S1C948	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Ferrovibrionales;f__Ferrovibrionaceae;g__Ferrovibrio;s__	N/A	N/A	N/A	N/A	N/A	GCA_002796975.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Ferrovibrionales;f__Ferrovibrionaceae;g__Ferrovibrio;s__Ferrovibrio sp002796975	87.86	0.87	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Ferrovibrionales;f__Ferrovibrionaceae;g__Ferrovibrio;s__	taxonomic classification defined by topology and ANI	N/A	GCF_007197755.1, s__Ferrovibrio terrae, 95.0, 87.68, 0.88; GCA_002482765.1, s__Ferrovibrio sp002482765, 95.0, 79.7, 0.5	50.15	11	0.9861123257270346	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S1C954	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Lacunisphaera;s__	N/A	N/A	N/A	N/A	N/A	GCA_903898675.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Lacunisphaera;s__Lacunisphaera sp903898675	79.28	0.31	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Lacunisphaera;s__	taxonomic classification defined by topology and ANI	N/A	GCF_900104925.1, s__Lacunisphaera sp900104925, 95.0, 79.2, 0.31; GCF_001746835.1, s__Lacunisphaera limnophila, 95.0, 79.04, 0.26; GCA_001464505.1, s__Lacunisphaera sp001464505, 95.0, 78.77, 0.26; GCA_009695095.1, s__Lacunisphaera sp009695095, 95.0, 78.64, 0.29; GCF_004118375.1, s__Lacunisphaera lentus, 95.0, 78.42, 0.29	71.25	11	0.9696579707130536	N/A
S1C956	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	N/A	N/A	N/A	N/A	N/A	GCA_002396605.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp002396605	79.96	0.54	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	taxonomic classification defined by topology and ANI	N/A	GCA_013360395.1, s__PHOS-HE28 sp013360395, 95.0, 78.03, 0.22; GCA_014584605.1, s__PHOS-HE28 sp014584605, 95.0, 77.71, 0.21	94.5	11	0.9806212584944978	N/A
S1C970	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Palsa-955;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Palsa-955;s__	taxonomic classification fully defined by topology	N/A	N/A	39.59	11	0.9525839344645423	N/A
S1C985	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__	N/A	N/A	N/A	N/A	N/A	GCA_001897075.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium sp001897075	89.15	0.77	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__	taxonomic classification defined by topology and ANI	N/A	GCF_001427285.1, s__Mesorhizobium sp001427285, 95.0, 88.22, 0.86; GCF_001427385.1, s__Mesorhizobium sp001427385, 95.0, 83.27, 0.7; GCF_004801285.1, s__Mesorhizobium composti, 95.0, 80.09, 0.51; GCF_003253745.1, s__Mesorhizobium kowhaii, 95.0, 79.77, 0.51; GCF_003148495.1, s__Mesorhizobium loti, 95.0, 79.73, 0.53; GCF_004919685.1, s__Mesorhizobium norvegicum, 95.0, 79.69, 0.55; GCF_900199455.1, s__Mesorhizobium sp900199455, 95.0, 79.69, 0.51; GCF_004791025.1, s__Mesorhizobium sp004791025, 95.0, 79.68, 0.52; GCF_003601985.1, s__Mesorhizobium jarvisii, 95.0, 79.66, 0.53; GCF_006442965.1, s__Mesorhizobium sp006442965, 95.0, 79.64, 0.55; GCF_001425625.1, s__Mesorhizobium sp001425625, 95.0, 79.6, 0.56; GCF_014207355.1, s__Mesorhizobium sangaii, 95.0, 79.59, 0.52; GCF_002356515.1, s__Mesorhizobium loti_C, 95.0, 79.58, 0.54; GCF_900472585.1, s__Mesorhizobium sp900472585, 95.0, 79.57, 0.5; GCF_000688075.1, s__Mesorhizobium sp000688075, 95.0, 79.57, 0.55; GCF_003289965.1, s__Mesorhizobium sp003289965, 95.0, 79.57, 0.51; GCF_002295115.1, s__Mesorhizobium sp002295115, 95.0, 79.57, 0.53; GCF_003952425.1, s__Mesorhizobium sp003952425, 95.0, 79.54, 0.54; GCA_004017535.1, s__Mesorhizobium sp004017535, 95.0, 79.53, 0.51; GCF_001686985.1, s__Mesorhizobium amorphae_B, 95.0, 79.53, 0.53; GCF_003952385.1, s__Mesorhizobium sp003952385, 95.0, 79.52, 0.54; GCF_007003975.1, s__Mesorhizobium sp007003975, 95.0, 79.51, 0.53; GCF_000176035.2, s__Mesorhizobium opportunistum, 95.0, 79.51, 0.54; GCA_004963905.1, s__Mesorhizobium sp004963905, 95.0, 79.49, 0.54; GCA_004020545.1, s__Mesorhizobium sp004020545, 95.0, 79.47, 0.52; GCF_004791585.1, s__Mesorhizobium sp004791585, 95.0, 79.47, 0.54; GCF_004363725.1, s__Mesorhizobium defluvii, 95.0, 79.47, 0.4; GCF_000472705.1, s__Mesorhizobium erdmanii, 95.0, 79.46, 0.51; GCF_013170805.1, s__Mesorhizobium sp013170805, 95.0, 79.46, 0.54; GCF_003952485.1, s__Mesorhizobium sp003952485, 95.0, 79.46, 0.53; GCF_002270415.1, s__Mesorhizobium sophorae, 95.0, 79.45, 0.53; GCF_004022705.2, s__Mesorhizobium sp004022705, 95.0, 79.45, 0.51; GCA_004020875.1, s__Mesorhizobium sp004020875, 95.0, 79.45, 0.52; GCF_000824845.1, s__Mesorhizobium sp000824845, 95.0, 79.44, 0.5; GCF_000427725.1, s__Mesorhizobium sp000427725, 95.0, 79.44, 0.52; GCF_002294725.1, s__Mesorhizobium sp002294725, 95.0, 79.44, 0.56; GCF_006439355.1, s__Mesorhizobium sp006439355, 95.0, 79.44, 0.53; GCF_004016445.2, s__Mesorhizobium sp004016445, 95.0, 79.44, 0.52; GCF_003353565.1, s__Mesorhizobium sp003353565, 95.0, 79.43, 0.54; GCF_900472295.1, s__Mesorhizobium sp900472295, 95.0, 79.42, 0.54; GCF_006440775.1, s__Mesorhizobium sp006440775, 95.0, 79.42, 0.54; GCF_000009625.1, s__Mesorhizobium japonicum, 95.0, 79.4, 0.53; GCF_000502715.1, s__Mesorhizobium sp000502715, 95.0, 79.39, 0.52; GCF_900103325.1, s__Mesorhizobium qingshengii, 95.0, 79.38, 0.52; GCF_013520985.1, s__Mesorhizobium sp013520985, 95.0, 79.38, 0.53; GCF_013170825.1, s__Mesorhizobium sp013170825, 95.0, 79.38, 0.53; GCF_004791165.1, s__Mesorhizobium sp004791165, 95.0, 79.36, 0.51; GCF_000824825.2, s__Mesorhizobium sp000824825, 95.0, 79.36, 0.52; GCF_006440735.1, s__Mesorhizobium sp006440735, 95.0, 79.35, 0.52; GCF_001510895.1, s__Mesorhizobium loti_A, 95.0, 79.35, 0.52; GCA_004020105.1, s__Mesorhizobium sp004020105, 95.0, 79.34, 0.46; GCF_002295065.1, s__Mesorhizobium sp002295065, 95.0, 79.34, 0.52; GCF_003289945.1, s__Mesorhizobium hawassense, 95.0, 79.34, 0.53; GCA_001899205.1, s__Mesorhizobium sp001899205, 95.0, 79.33, 0.49; GCF_000824805.1, s__Mesorhizobium sp000824805, 95.0, 79.33, 0.51; GCF_006442795.1, s__Mesorhizobium sp006442795, 95.0, 79.32, 0.52; GCF_008727715.1, s__Mesorhizobium terrae, 95.0, 79.32, 0.52; GCF_000425965.1, s__Mesorhizobium sp000425965, 95.0, 79.32, 0.49; GCF_003601975.1, s__Mesorhizobium waimense, 95.0, 79.31, 0.57; GCF_006442815.1, s__Mesorhizobium sp006442815, 95.0, 79.31, 0.54; GCF_007830515.1, s__Mesorhizobium tianshanense, 95.0, 79.31, 0.51; GCA_004962925.1, s__Mesorhizobium sp004962925, 95.0, 79.3, 0.43; GCA_004962245.1, s__Mesorhizobium sp004962245, 95.0, 79.3, 0.51; GCF_003952465.1, s__Mesorhizobium sp003952465, 95.0, 79.29, 0.53; GCF_000824785.1, s__Mesorhizobium plurifarium, 95.0, 79.29, 0.53; GCF_002284565.1, s__Mesorhizobium mediterraneum, 95.0, 79.28, 0.53; GCF_006440675.1, s__Mesorhizobium sp006440675, 95.0, 79.27, 0.55; GCF_900156895.1, s__Mesorhizobium prunaredense, 95.0, 79.27, 0.47; GCF_900099905.1, s__Mesorhizobium muleiense, 95.0, 79.27, 0.48; GCF_013170705.1, s__Mesorhizobium loti_D, 95.0, 79.26, 0.53; GCF_003863365.1, s__Mesorhizobium tamadayense, 95.0, 79.26, 0.53; GCF_002284535.1, s__Mesorhizobium wenxiniae, 95.0, 79.25, 0.47; GCA_004020365.1, s__Mesorhizobium sp004020365, 95.0, 79.24, 0.49; GCF_000350085.1, s__Mesorhizobium metallidurans, 95.0, 79.23, 0.5; GCF_000359125.1, s__Mesorhizobium sp000359125, 95.0, 79.2, 0.51; GCA_002200945.1, s__Mesorhizobium amorphae_A, 95.0, 79.18, 0.55; GCA_004020315.1, s__Mesorhizobium sp004020315, 95.0, 79.11, 0.48; GCF_003952505.1, s__Mesorhizobium sp003952505, 95.0, 79.11, 0.53; GCF_900115245.1, s__Mesorhizobium sp900115245, 95.0, 79.11, 0.53; GCF_000503055.1, s__Mesorhizobium sp000503055, 95.0, 79.1, 0.5; GCF_002294995.1, s__Mesorhizobium sp002294995, 95.0, 79.09, 0.5; GCF_003952525.1, s__Mesorhizobium sp002294945, 95.0, 79.09, 0.5; GCF_001427025.1, s__Mesorhizobium sp001427025, 95.0, 79.07, 0.46; GCF_003952365.1, s__Mesorhizobium sp003952365, 95.0, 79.06, 0.54; GCF_002294985.1, s__Mesorhizobium sp002294985, 95.0, 79.04, 0.52; GCF_002858745.1, s__Mesorhizobium loti_F, 95.0, 79.03, 0.46; GCA_004020645.1, s__Mesorhizobium sp004020645, 95.0, 79.02, 0.5; GCA_005063415.1, s__Mesorhizobium sp005063415, 95.0, 79.0, 0.48; GCF_004136315.1, s__Mesorhizobium sp004136315, 95.0, 78.99, 0.44; GCF_002284575.1, s__Mesorhizobium temperatum, 95.0, 78.99, 0.48; GCF_001854785.1, s__Mesorhizobium sp001854785, 95.0, 78.98, 0.52; GCF_000502835.1, s__Mesorhizobium sp000502835, 95.0, 78.96, 0.52; GCF_004010325.2, s__Mesorhizobium sp004010325, 95.0, 78.95, 0.55; GCF_003034915.1, s__Mesorhizobium helmanticense, 95.0, 78.92, 0.51; GCF_014201615.1, s__Mesorhizobium lusatiense, 95.0, 78.75, 0.39; GCF_001303895.1, s__Mesorhizobium sp001303895, 95.0, 78.71, 0.44; GCA_003963455.1, s__Mesorhizobium sp003963455, 95.0, 78.64, 0.44; GCF_002075885.1, s__Mesorhizobium manganicum, 95.0, 78.17, 0.42; GCA_003242525.1, s__Mesorhizobium sp003242525, 95.0, 77.54, 0.25	22.97	11	0.9952669410634718	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S1C986	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Povalibacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_014202975.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Povalibacter;s__Povalibacter uvarum	77.75	0.28	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	58.15	11	0.9516482128554354	N/A
S1C987	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__CG1-02-43-26;g__JABDAI01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__CG1-02-43-26;g__;s__	taxonomic novelty determined using RED	N/A	N/A	87.08	11	0.8915487884423725	N/A
